10th_percent,12th_percent,jee_rank,gender,experience,engineering_field,college_tier,salary
77.7,86.9,15786,Male,6,Computer Science,State College,1164761
65.2,62.2,3869,Female,9,Electrical,State College,359760
93.8,91.3,2289,Male,2,Mechanical,State College,250000
87.0,99.0,1,Male,1,Mechanical,Top IIT,1627897
79.6,77.9,2066,Male,5,Electrical,NIT,1134480
99.0,94.1,213,Male,6,Mechanical,NIT,1236250
88.7,93.1,8336,Male,3,Civil,State College,424531
87.1,91.1,4568,Male,2,Computer Science,State College,1254796
82.9,80.3,1893,Male,5,Computer Science,Private College,1704988
100.0,97.0,636,Female,2,Electrical,Top IIT,2122466
85.4,86.3,1163,Female,2,Mechanical,State College,250000
78.5,78.6,303,Male,2,Mechanical,Private College,269250
96.0,85.7,17753,Male,3,Civil,State College,799001
71.7,69.0,49673,Female,4,Computer Science,State College,895378
75.7,71.6,95134,Male,2,Computer Science,State College,1009856
73.4,69.9,148278,Male,3,Computer Science,State College,2653152
65.7,64.5,17084,Male,2,Computer Science,State College,692633
61.4,63.7,22514,Male,5,Electronics,State College,842485
94.6,86.8,1,Male,3,Computer Science,NIT,1380194
77.6,80.9,14444,Male,3,Computer Science,State College,1301182
70.8,82.0,13419,Male,5,Mechanical,Private College,1214388
86.2,85.8,4140,Female,3,Electrical,State College,673834
74.0,67.1,9207,Male,4,Computer Science,State College,757975
76.7,75.5,99532,Male,6,Electronics,State College,1286371
99.0,97.0,333,Male,5,Electrical,State College,852487
70.3,67.8,212311,Female,9,Mechanical,State College,601537
82.6,78.7,249635,Male,5,Mechanical,NIT,1317202
73.9,73.1,1916,Male,2,Civil,State College,302160
72.3,71.7,14865,Male,5,Electronics,State College,600953
76.0,80.1,13052,Male,2,Computer Science,State College,255091
83.0,84.1,1,Male,3,Civil,Mid IIT,1938746
95.4,81.7,3702,Male,2,Mechanical,State College,250000
90.2,78.4,96571,Male,2,Electronics,Private College,250000
89.9,91.1,5493,Male,3,Electrical,State College,438057
77.3,74.2,16152,Male,5,Computer Science,State College,1476692
85.3,87.5,2673,Male,10,Mechanical,State College,1118884
80.7,81.3,56615,Female,4,Civil,State College,416074
93.9,91.4,6069,Male,7,Computer Science,NIT,2510350
70.9,75.0,58345,Female,6,Computer Science,Private College,1213155
80.5,79.0,9586,Male,4,Computer Science,State College,1592309
70.5,74.4,19156,Male,7,Electrical,State College,1034584
89.2,92.3,3016,Male,1,Computer Science,State College,796541
